;20-01-11;20-01-12;20-01-13;20-01-14;20-01-15;20-01-16;20-01-17;20-01-18;20-01-19;20-01-20;20-01-21;20-01-22;20-01-23;20-01-24;20-01-25;20-01-26;20-01-27;20-01-28;20-01-29;20-01-30;20-01-31;20-02-01;20-02-02;20-02-03;20-02-04;20-02-05;20-02-06;20-02-07;20-02-08;20-02-09;20-02-10;20-02-11;20-02-12;20-02-13;20-02-14;20-02-15;20-02-16;20-02-17;20-02-18;20-02-19;20-02-20;20-02-21;20-02-22;20-02-23;20-02-24;20-02-25;20-02-26;20-02-27;20-02-28;20-02-29;20-03-01;20-03-02;20-03-03;20-03-04;20-03-05;20-03-06;20-03-07;20-03-08;20-03-09;20-03-10;20-03-11;country;region;population
Hong Kong;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;0;0;2;2;1;1;1;0;3;3;3;2;0;10;6;7;1;3;3;0;1;3;2;3;4;0;1;5;6;4;6;2;1;1;4;1;0;4;0;3;2;5.0;1.0;5.0;6.0;Hong Kong;Eastern Asia;7436154
Macau;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Macau;Eastern Asia;640445
Taiwan;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;3;0;1;1;0;0;0;1;0;5;0;1;1;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;1;1;0;2;5;0;0;2;1;0;0;0;0.0;0.0;0.0;;Taiwan;Eastern Asia;23773876
Japan;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;3;1;4;1;3;0;0;3;3;0;0;1;0;2;1;0;4;7;12;6;7;8;10;10;15;26;12;12;11;13;25;19;7;16;18;19;36;31;57;44;33.0;26.0;0.0;;Japan;Eastern Asia;126860301
South Korea;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;5;1;3;0;1;3;4;1;0;3;0;1;0;0;0;0;1;1;1;20;53;100;229;169;231;144;284;505;571;813;1062;600;516;438;518;483;367;248.0;131.0;242.0;;South Korea;Eastern Asia;51225308
Vietnam;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;1;1;1;2;0;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;10.0;1.0;0.0;;Vietnam;Southeastern Asia;96462106
Cambodia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0;0.0;0.0;;Cambodia;Southeastern Asia;16486542
Thailand;0;0;1;0;0;0;1;0;0;0;0;2;0;1;0;3;0;6;0;0;5;0;0;0;6;0;0;0;7;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;0;1;1;0;1;0;0;4;0;0;0.0;0.0;0.0;;Thailand;Southeastern Asia;69037513
Malaysia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;0;0;2;2;2;1;1;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;7;14;5;28;10;0.0;0.0;0.0;;Malaysia;Southeastern Asia;31949777
Singapore;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;2;3;3;3;2;0;0;6;4;2;3;7;3;2;2;3;8;9;5;3;2;4;3;1;1;3;0;1;1;2;3;2;4;4;2;2;2;5;13;8;12.0;10.0;6.0;12.0;Singapore;Southeastern Asia;5804337
Philippines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1.0;0.0;0.0;;Philippines;Southeastern Asia;108116615
Indonesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2.0;0.0;0.0;;Indonesia;Southeastern Asia;270625568
